observation_id,source_id,instrument,obs_id,archive_uri,archive_ref,start_time,stop_time,exposure_s,data_mode,raw_status,local_raw_path,checksum,event_product_uri,software_version,caldb_version,screening_hash,barycorr_ref,quality_flags,notes
rxte_4u_1636_536_10088_01_07_02,4u_1636_536,RXTE/PCA,10088-01-07-02,,minbar_entry_2257,MJD 50445.93334,MJD 50446.09376,7196,MINBAR XPa,selected,,,,,,,,MINBAR observation entry 14637 with two bursts; first burst selected for secure oscillation recovery
rxte_4u_1728_34_10073_01_01_00,4u_1728_34,RXTE/PCA,10073-01-01-00,,minbar_entry_2204,MJD 50128.49307,MJD 50128.99998,11888,MINBAR XPa,selected,,,,,,,,MINBAR observation entry 14292 with two bursts; first burst selected for secure oscillation recovery
rxte_4u_1728_34_10073_01_02_00,4u_1728_34,RXTE/PCA,10073-01-02-00,,minbar_entry_2206,MJD 50129.00209,MJD 50129.42571,12064,MINBAR XPa,selected,,,,,,,,MINBAR observation entry 14293 with three bursts; first burst selected as non-detection control
rxte_4u_1702_429_20084_02_01_00,4u_1702_429,RXTE/PCA,20084-02-01-00,,minbar_entry_2322,MJD 50648.36809,MJD 50648.85628,12652,MINBAR XPa,selected,,,,,,,,MINBAR observation entry 15020 with two bursts; first burst selected as source-level known oscillator candidate
rxte_ks_1731_260_30061_01_02_01,ks_1731_260,RXTE/PCA,30061-01-02-01,,minbar_entry_2431,MJD 51088.54448,MJD 51088.58615,3376,MINBAR XPa,selected,,,,,,,,MINBAR observation entry 15632 with one burst; selected as source-level known oscillator candidate
