source_id,canonical_name,aliases,ra_deg,dec_deg,coordinate_ref,source_class,known_spin_hz,spin_ref,binary_ephemeris_ref,minbar_name,rxte_priority,notes
4u_1636_536,4U 1636-536,V* V801 Ara|4U 1636-53,250.231657064,-53.751374474,SIMBAD 2020yCat.1350....0G checked 2026-05-24,LMXB,581,https://academic.oup.com/mnras/article/383/1/387/1070628,,4U 1636-536,high,Rounded burst-oscillation frequency for source-level Phase 1 candidate; exact ObsID and burst IDs TBD
4u_1728_34,4U 1728-34,NAME Slow Burster|GX 354-0,262.991666667,-33.832777778,SIMBAD 2022A&A...661A..38P checked 2026-05-24,LMXB,363,https://academic.oup.com/mnras/article/455/2/2004/1123266,,4U 1728-34,high,Rounded burst-oscillation frequency for source-level Phase 1 candidate; exact ObsID and burst IDs TBD
4u_1702_429,4U 1702-429,X Ara X-1,256.563333333,-43.036388889,SIMBAD 2022A&A...661A..38P checked 2026-05-24,LMXB,330,https://ntrs.nasa.gov/citations/19990023258,,4U 1702-429,high,Rounded near-330 Hz burst-oscillation frequency for source-level Phase 1 candidate; exact ObsID and burst IDs TBD
ks_1731_260,KS 1731-260,,263.556083333,-26.088500000,SIMBAD 2010A&A...512A..26Z checked 2026-05-24,LMXB,524,https://arxiv.org/abs/astro-ph/0003229,,KS 1731-260,high,Rounded near-524 Hz burst-oscillation frequency for source-level Phase 1 candidate; exact ObsID and burst IDs TBD
